fieldname,ot_field,type,value
"webgains_category","category","custom","category"
"nextag_category","category","custom","category"
"nextag_deeplink","deeplink","append","?utm_source=Nextag&utm_medium=cost-per-click"
"google_deeplink","deeplink","append","?utm_source=googlebase&utm_medium=Free_clicks"
"webgains_deeplink","deeplink","append","?utm_source=google&utm_medium=CPA"
"dooyoo_deeplink","deeplink","append","?utm_source=leguide&utm_medium=cost-per-impression"
"warranty","","new","1"
"quantity","","new","1"
"availability","availability","new","In Stock"
"shipping_uk","","custom","shipping_uk"
"shipping_cost_uk","","custom","shipping_cost_uk"
"id","productid","copy",""
"link","deeplink","copy",""
"title","productname","copy",""
