id,title,link,price,description,condition,image_thumbnail,category,quantity,availability,google_deeplink,google_product_type,brand,mpn
"GFT","Gift Certificate",,"0","","New",,"Shop By Room",1,"In Stock",,"Shop By Room",,
"Jasminpack","Jasmin Bathroom Suite WC & Sink Pack",,"159","Jasmin Bathroom Suite PackA simple but sleek modern design that creates a bathroom to make a statement about you - a natural choice favoured by many.P...","New",,"Bathrooms > Bathroom Suites > Bathroom Suites & Sets",1,"In Stock",,"Bathrooms > Bathroom Suites > Bathroom Suites & Sets",,
"jt634","Roma Whirlpool Bath Designer Straight Bath 1680mm",,"732.25","Roma Whirlpool Bath Designer Straight Bath 1680mm x 850mmDimensions: The bath measures 1680mm x 850mm approx&nbsp;&nbsp;&nbsp; Straight Bath&nbsp;&nbs...","New",,"Bathrooms > Baths > Whirlpool Baths",1,"In Stock",,"Bathrooms > Baths > Whirlpool Baths",,
"showerguard","Showerguard  Protect Steam Showers & Shower Enclosure Glass, Glazed Ceramic Tiles & Mirrors",,"37.78","Showerguard &trade; Protect Steam Showers &amp; Shower Enclosure Glass, Glazed Ceramic Tiles &amp; MirrorsFor use with a  new shower cubcile or steam ...","New",,"Bathrooms > Shower Enclosures > Steam Shower Accessories",1,"In Stock",,"Bathrooms > Shower Enclosures > Steam Shower Accessories",,
"JTA002","Seattle Corner Whirlpool Bath 14 Jets Spa 1230mm x 1230m",,"820","Seattle Corner Whirlpool Bath 14 Jets Spa 1230mm x 1230m    1.2 HP Pump    6 Massaging Whirlpool Jets, 8 fixed jets    Steel Subframe    Chromatherapy...","New",,"Bathrooms > Baths > Whirlpool Baths",1,"In Stock",,"Bathrooms > Baths > Whirlpool Baths",,
"JTA020","San Francisco 1700mm Whirlpool Bath 15 Spa Jets Luxury",,"732.25","San Francisco 1700mm Whirlpool Bath 15 Spa Jets Luxury Size is 1700mm x 740mm wideWidest part is 850mm560mm High approx    1 HP Pump    7 Whirlpool  j...","New",,"Bathrooms > Baths > Whirlpool Baths",1,"In Stock",,"Bathrooms > Baths > Whirlpool Baths",,
"JTA1802","San Jose 1820mm Double Ended Whirlpool Bath Luxury Inset 22 Spa Jets",,"975","San Jose 1820mm Double Ended Whirlpool Bath Luxury Inset 22 Spa JetsThe Alaska Whirlpool Bath is one of our most larest double ended whirlpool baths a...","New",,"Bathrooms > Baths > Whirlpool Baths",1,"In Stock",,"Bathrooms > Baths > Whirlpool Baths",,
"RPR100","Moods RPR100 Designer Illuminating Bathroom Mirror Vegas",,"251","Our range of designer illuminating mirrors will add a touch of elegance to any bathroom. Combining style with practicality, each mirror contains the l...","New",,"Furniture > Bedroom Furniture > Bedroom Mirrors",1,"In Stock",,"Furniture > Bedroom Furniture > Bedroom Mirrors",,
"RPR102","Moods RPR102 Designer Illuminating Bathroom Mirror Hollywood",,"268","Our range of designer illuminating mirrors will add a touch of eleganceto any bathroom. Combining style with practicality, each mirrorcontains the lat...","New",,"Furniture > Bedroom Furniture > Bedroom Mirrors",1,"In Stock",,"Furniture > Bedroom Furniture > Bedroom Mirrors",,
"RPR104","Moods RPR104 Designer Illuminating Bathroom Mirror Aztec",,"251","Our range of designer illuminating mirrors will add a touch of eleganceto any bathroom. Combining style with practicality, each mirrorcontains the lat...","New",,"Furniture > Bedroom Furniture > Bedroom Mirrors",1,"In Stock",,"Furniture > Bedroom Furniture > Bedroom Mirrors",,
"RPR106","Moods RPR106 Designer Illuminating Bathroom Mirror Saturn",,"209","Our range of designer illuminating mirrors will add a touch of eleganceto any bathroom. Combining style with practicality, each mirrorcontains the lat...","New",,"Furniture > Bedroom Furniture > Bedroom Mirrors",1,"In Stock",,"Furniture > Bedroom Furniture > Bedroom Mirrors",,
"VCE6000","Moods VCE6000 Libra W554 x H618mm Bathroom Mirror Wenge",,"122","    Libra Mirror Wenge    Minimal and modern with smooth contours and soft square lines. Libra is a stunning style statement offering a range of produ...","New",,"Bathrooms > Bathroom Mirrors",1,"In Stock",,"Bathrooms > Bathroom Mirrors",,
